주차장관리번호,주차장명,주차장구분,주차장유형,주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,관리기관명,위도,경도
405-2-000075,노형동 3812-3 공영주차장,공영,노외,제주특별자치도 제주시 노형동 3812-3,47,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4788467,126.4762021
405-2-000076,노형동 2589-1 공영주차장,공영,노외,제주특별자치도 제주시 노형동 2589-1,26,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4835652,126.4701044
405-2-000077,노형동 1047-1 공영주차장,공영,노외,제주특별자치도 제주시 노형동 1047-1,32,1,미시행,평일+토요일+공휴일,9:00,22:00,9:00,22:00,9:00,22:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4914574,126.4795842
405-2-000078,사평 제1 공영주차장,공영,노외,제주특별자치도 제주시 오라2동 1326,18,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4915982,126.5119414
405-2-000079,거로 공영주차장,공영,노외,제주특별자치도 제주시 화북2동 3491-2,20,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5100923,126.5626642
405-2-000080,노형동 947 남측 공영주차장,공영,노외,제주특별자치도 제주시 노형동 947,42,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4859158,126.4859869
405-2-000081,노형동 947 북측 공영주차장,공영,노외,제주특별자치도 제주시 노형동 947,28,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4859158,126.4859869
405-2-000082,노형동 1293-2 공영주차장,공영,노외,제주특별자치도 제주시 노형동 1293-2,22,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.488692,126.4823889
405-2-000083,외도1동 440-7 공영주차장,공영,노외,제주특별자치도 제주시 외도1동 440-7,37,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4906039,126.428533
405-2-000084,외도1동 448-3 공영주차장,공영,노외,제주특별자치도 제주시 외도1동 448-3,44,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4917532,126.4322426
405-2-000085,노형동 2595-7 공영주차장,공영,노외,제주특별자치도 제주시 노형동 2595-7,25,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.481813,126.4720226
405-2-000086,도두1동 2630 공영주차장,공영,노외,제주특별자치도 제주시 도두1동 2630,23,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5060688,126.4654295
405-2-000087,병문천 공영주차장,공영,노외,제주특별자치도 제주시 삼도2동 1227-7,58,1,미시행,평일+토요일,9:00,19:00,9:00,19:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5120406,126.5215055
405-2-000088,칠성상가1 공영주차장,공영,노외,제주특별자치도 제주시 일도1동 1476-1,19,1,미시행,평일+토요일+공휴일,10:00,21:00,10:00,21:00,10:00,21:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5130207,126.5272881
405-2-000089,칠성상가2 공영주차장,공영,노외,제주특별자치도 제주시 일도1동 1401-13,14,1,미시행,평일+토요일+공휴일,10:00,21:00,10:00,21:00,10:00,21:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5130207,126.5272881
405-2-000090,동문수산시장 공영주차장,공영,노외,제주특별자치도 제주시 이도1동 1348-1,20,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5060359,126.5275776
